truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
68.63%,55.17%,79.86%,69.66%,68.40%,62.75%,62.21%,69.63%,51.53%,74.72%,78.57%
90.73%,82.76%,94.24%,93.10%,90.33%,88.66%,92.44%,91.41%,86.44%,94.07%,89.29%
