horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
54.95%,54.55%,40.86%,45.42%,60.29%,54.22%,58.19%,61.21%,43.96%,66.44%
74.21%,80.30%,62.90%,68.31%,79.31%,71.11%,77.65%,79.95%,67.67%,84.93%
