car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
44.85%,54.25%,43.85%,45.48%,44.04%,51.13%,44.18%,45.62%,47.53%,43.91%,55.21%
80.65%,91.51%,79.73%,80.97%,80.65%,85.41%,80.42%,80.34%,82.89%,80.18%,86.46%
