deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
41.99%,50.00%,42.11%,44.00%,44.07%,41.33%,34.28%,46.22%,48.98%
90.51%,82.35%,89.47%,88.57%,92.45%,88.62%,88.54%,92.03%,89.80%
