cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
86.79%,81.40%,78.00%,84.68%,88.73%,83.95%,92.20%,88.97%,81.55%,81.48%
96.74%,95.32%,88.00%,96.40%,97.34%,95.96%,99.19%,97.68%,95.68%,94.07%
