bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
93.04%,93.55%,85.96%,87.42%,93.75%,94.94%,95.75%,95.19%,83.11%,83.99%,96.42%
98.30%,97.58%,94.74%,96.03%,98.65%,98.73%,98.50%,98.34%,97.30%,96.04%,99.14%
