plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
66.42%,73.39%,66.80%,66.56%,66.71%,66.58%,78.52%,56.27%,73.01%
94.79%,95.41%,97.30%,93.11%,93.80%,97.24%,98.29%,94.88%,97.43%
