horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
8.33%,20.95%,21.43%,41.67%,44.09%,23.91%,17.03%,25.73%,22.64%
21.67%,42.86%,21.43%,61.11%,67.74%,42.39%,37.65%,43.69%,45.61%
