truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
66.00%,51.85%,40.00%,33.33%,67.74%,48.84%,28.41%,36.96%
94.00%,92.59%,60.00%,88.89%,87.10%,76.74%,85.23%,69.57%
