deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
39.22%,32.05%,100.00%,9.09%,40.00%,30.53%,40.19%,36.89%,18.28%,42.62%
72.55%,66.67%,100.00%,54.55%,50.00%,69.47%,78.04%,71.84%,56.90%,72.13%
