bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
80.00%,79.07%,82.35%,100.00%,70.00%,87.98%,87.69%,94.89%
91.11%,88.37%,100.00%,100.00%,82.50%,97.81%,93.85%,97.73%
