plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
69.53%,55.36%,68.42%,50.00%,40.45%,70.40%,56.36%,53.14%,52.73%,29.39%
95.31%,92.86%,84.21%,100.00%,71.35%,94.40%,72.73%,76.99%,89.09%,52.36%
