cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
83.33%,85.71%,63.64%,86.96%,83.74%,82.48%,83.92%,78.74%,77.42%
93.06%,100.00%,100.00%,95.65%,95.93%,96.35%,93.71%,94.49%,94.62%
