plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
68.75%,69.64%,94.74%,50.00%,39.33%,80.80%,58.18%,61.09%,54.55%,37.50%
98.44%,96.43%,100.00%,75.00%,89.89%,96.80%,87.27%,89.96%,97.27%,81.76%
