car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
51.45%,37.86%,41.30%,43.59%,57.14%,46.09%,43.53%,39.34%
86.72%,76.70%,82.61%,79.49%,91.51%,84.35%,81.18%,78.20%
