bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
91.11%,76.74%,94.12%,100.00%,82.50%,90.16%,84.62%,94.89%
93.33%,93.02%,100.00%,100.00%,92.50%,97.27%,94.62%,97.73%
