deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
43.14%,35.90%,50.00%,25.00%,50.00%,28.42%,38.79%,41.75%,22.07%,40.16%
76.47%,82.05%,100.00%,84.09%,70.00%,85.26%,89.25%,82.52%,78.62%,85.25%
