ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
65.41%,54.13%,57.14%,0.00%,48.10%,33.33%,40.00%,35.21%,22.99%,40.78%,37.86%
93.08%,91.74%,100.00%,100.00%,88.61%,88.57%,80.00%,85.92%,86.10%,93.20%,96.43%
