truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
68.00%,51.85%,60.00%,66.67%,54.84%,65.12%,39.77%,50.00%
94.00%,81.48%,90.00%,100.00%,87.10%,93.02%,84.09%,82.61%
