plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
65.62%,53.57%,68.42%,50.00%,43.82%,66.40%,54.55%,54.39%,54.55%,35.81%
87.50%,85.71%,73.68%,50.00%,80.90%,88.00%,72.73%,82.43%,79.09%,67.23%
