cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
70.83%,28.57%,54.55%,52.17%,60.98%,72.99%,71.33%,60.63%,62.37%
87.50%,71.43%,90.91%,73.91%,85.37%,88.32%,83.92%,81.89%,82.80%
