truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
64.00%,40.74%,50.00%,33.33%,45.16%,48.84%,29.55%,45.65%
90.00%,88.89%,50.00%,88.89%,77.42%,81.40%,75.00%,71.74%
