deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
62.75%,43.59%,100.00%,20.45%,30.00%,30.53%,41.59%,37.86%,24.83%,48.36%
82.35%,71.79%,100.00%,68.18%,40.00%,69.47%,76.17%,64.08%,66.90%,76.23%
