horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
13.33%,24.76%,21.43%,36.11%,35.48%,32.61%,17.51%,31.07%,22.97%
26.67%,42.86%,35.71%,55.56%,69.89%,51.09%,38.61%,49.03%,47.97%
