car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
52.70%,31.07%,42.39%,5.13%,55.21%,50.43%,31.37%,40.28%
81.74%,68.93%,71.74%,71.79%,83.78%,81.74%,73.73%,76.78%
