bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
75.56%,79.07%,94.12%,96.88%,82.50%,92.90%,87.69%,94.89%
88.89%,93.02%,94.12%,100.00%,87.50%,99.45%,93.85%,98.86%
