ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
62.26%,49.54%,71.43%,33.33%,41.77%,31.43%,40.00%,35.21%,26.20%,39.81%,42.86%
87.42%,92.66%,85.71%,100.00%,79.75%,74.29%,80.00%,87.32%,75.40%,88.35%,92.86%
