deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
34.83%,32.35%,31.58%,38.29%,39.76%,31.35%,29.15%,37.77%,48.98%
65.72%,58.82%,68.42%,66.86%,67.92%,64.45%,61.46%,68.76%,81.63%
