car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
38.13%,34.43%,41.53%,42.90%,36.72%,39.14%,30.69%,38.86%,38.59%,40.06%,47.92%
70.43%,65.09%,70.76%,74.19%,72.49%,68.33%,66.40%,72.50%,76.24%,70.76%,73.96%
