horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
34.54%,48.48%,27.96%,28.87%,36.99%,37.71%,37.03%,37.22%,19.18%,69.18%
53.65%,59.09%,43.01%,49.30%,57.26%,54.78%,55.97%,59.54%,39.27%,81.51%
