frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
49.52%,53.89%,47.68%,35.29%,45.45%,49.65%,50.11%,33.80%,43.07%,48.12%,38.16%,58.31%,53.81%
73.58%,82.22%,72.76%,64.71%,63.64%,75.89%,74.42%,62.68%,68.61%,73.22%,61.18%,83.66%,77.35%
