plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
54.21%,44.04%,59.07%,51.48%,58.65%,42.96%,66.16%,53.71%,64.01%
76.50%,76.15%,79.15%,78.03%,79.25%,72.86%,89.73%,76.47%,85.09%
