cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
68.21%,77.47%,46.00%,53.15%,67.29%,75.06%,83.87%,61.70%,77.08%,61.48%
81.48%,87.35%,60.00%,78.38%,79.66%,86.17%,92.20%,77.37%,86.38%,76.05%
