bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
89.38%,81.45%,81.29%,80.79%,91.22%,88.38%,86.25%,88.91%,87.50%,85.89%,89.70%
94.47%,83.87%,87.13%,90.07%,95.52%,93.90%,93.00%,94.45%,93.92%,92.43%,94.99%
