dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
70.77%,68.79%,63.58%,64.12%,72.48%,71.38%,79.85%,66.08%,62.32%,63.98%,56.58%,81.00%
85.96%,80.72%,84.77%,77.65%,86.89%,85.18%,90.80%,78.35%,81.16%,76.34%,75.68%,92.47%
