truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
62.55%,34.48%,70.50%,71.72%,63.75%,48.99%,63.37%,63.19%,46.78%,68.79%,62.50%
87.64%,51.72%,89.21%,90.34%,89.96%,75.71%,90.12%,89.88%,82.03%,89.41%,80.36%
