ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
53.59%,48.28%,55.56%,48.87%,59.68%,45.96%,52.94%,54.23%
90.34%,72.41%,89.20%,87.38%,92.43%,84.16%,90.20%,89.60%
