plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
62.08%,66.97%,63.32%,63.93%,63.54%,61.81%,75.10%,55.75%,70.95%
86.38%,89.91%,86.49%,88.20%,87.18%,86.43%,97.15%,85.68%,92.54%
