frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
93.88%,96.67%,92.57%,94.12%,95.45%,94.33%,93.66%,89.44%,92.34%,93.72%,91.45%,95.49%,95.29%
97.31%,99.44%,96.28%,94.12%,97.73%,97.16%,97.46%,96.48%,97.45%,97.91%,97.37%,98.31%,97.53%
