ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
52.96%,65.52%,54.32%,47.57%,59.24%,50.00%,64.71%,55.11%
91.74%,82.76%,92.59%,92.56%,91.99%,89.13%,96.08%,92.59%
