horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
38.81%,37.88%,26.34%,29.58%,45.45%,36.40%,39.76%,44.13%,30.66%,52.74%
61.59%,57.58%,51.08%,51.41%,68.86%,57.41%,63.31%,66.73%,55.14%,74.66%
