bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
93.65%,88.71%,85.96%,87.42%,94.17%,94.82%,94.75%,94.82%,84.12%,85.89%,96.14%
98.22%,95.16%,93.57%,94.70%,98.82%,98.50%,97.50%,97.60%,98.31%,97.07%,98.86%
