dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
88.94%,93.64%,86.75%,83.53%,91.60%,90.53%,90.80%,92.41%,86.47%,82.80%,88.09%,93.91%
97.27%,98.41%,97.35%,94.71%,97.32%,98.17%,97.26%,98.23%,97.10%,92.20%,95.78%,98.21%
