cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
78.77%,75.13%,62.00%,73.87%,82.16%,76.63%,89.25%,79.50%,75.52%,70.86%
93.42%,92.67%,84.00%,92.79%,94.05%,93.13%,98.39%,93.04%,92.78%,89.14%
