deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
47.78%,35.29%,48.42%,46.29%,54.18%,43.26%,41.48%,52.43%,51.02%
79.53%,70.59%,78.95%,78.29%,85.31%,74.96%,76.75%,83.67%,83.67%
