car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
50.49%,48.58%,48.84%,54.52%,50.10%,51.70%,52.38%,49.62%,55.13%,48.32%,61.46%
84.81%,88.21%,83.06%,86.45%,85.15%,86.65%,85.19%,85.71%,85.93%,84.16%,84.38%
