truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
64.29%,55.17%,69.78%,65.52%,66.36%,58.70%,61.05%,69.33%,48.81%,69.77%,69.64%
89.19%,86.21%,94.96%,90.34%,89.03%,87.04%,91.86%,90.49%,82.71%,92.66%,87.50%
