horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
40.93%,40.91%,33.33%,35.21%,45.04%,39.21%,43.00%,44.31%,32.48%,58.90%
62.09%,62.12%,52.15%,54.58%,68.03%,59.29%,62.12%,65.76%,56.50%,82.88%
