deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
51.97%,44.12%,49.47%,45.14%,59.30%,47.81%,46.07%,55.14%,57.14%
84.65%,67.65%,80.00%,82.29%,87.60%,81.79%,83.84%,87.33%,89.80%
