truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
62.36%,55.17%,73.38%,64.14%,64.50%,55.87%,56.40%,63.80%,43.73%,67.80%,71.43%
87.74%,79.31%,92.09%,88.97%,87.73%,85.83%,87.79%,89.88%,81.36%,90.68%,87.50%
