ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
54.55%,65.52%,56.48%,49.19%,58.66%,53.11%,66.67%,55.98%
90.78%,86.21%,92.28%,89.32%,91.85%,87.89%,96.08%,90.97%
