plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
64.29%,67.89%,65.64%,65.25%,65.56%,63.32%,80.80%,54.48%,68.89%
89.12%,89.91%,88.80%,91.15%,89.77%,88.94%,98.67%,85.17%,91.26%
