cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
78.88%,74.60%,72.00%,73.87%,81.69%,76.78%,90.05%,78.72%,74.55%,73.33%
93.70%,93.94%,86.00%,89.19%,94.68%,93.99%,98.12%,94.00%,94.42%,89.88%
