car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
47.04%,51.42%,45.51%,50.97%,47.49%,51.24%,42.86%,48.39%,51.71%,45.57%,57.29%
82.35%,87.26%,80.07%,86.45%,80.75%,86.65%,82.80%,82.95%,86.69%,81.41%,82.29%
