bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
94.95%,91.13%,86.55%,92.05%,95.44%,95.40%,94.00%,95.19%,90.20%,91.57%,95.85%
98.69%,95.97%,95.91%,98.01%,98.99%,98.39%,98.00%,97.97%,97.97%,97.42%,99.28%
