dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
88.16%,92.84%,90.07%,81.18%,89.94%,90.12%,88.68%,92.03%,82.13%,82.26%,86.85%,94.27%
97.97%,99.40%,97.35%,96.47%,98.80%,98.17%,97.01%,99.24%,97.58%,96.77%,98.01%,98.92%
