frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
94.31%,97.78%,92.57%,94.12%,95.45%,95.27%,93.87%,88.73%,94.16%,93.72%,92.76%,95.49%,95.96%
97.96%,99.44%,96.59%,100.00%,100.00%,96.93%,98.10%,96.48%,98.18%,97.49%,97.37%,98.59%,98.88%
