plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
75.78%,57.14%,89.47%,50.00%,39.33%,77.60%,63.64%,53.97%,51.82%,34.12%
93.75%,87.50%,100.00%,100.00%,77.53%,93.60%,80.00%,83.26%,87.27%,68.24%
