cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
69.44%,57.14%,54.55%,39.13%,61.79%,69.34%,73.43%,63.78%,68.82%
91.67%,85.71%,100.00%,78.26%,84.55%,88.32%,86.01%,84.25%,90.32%
