frog_weather_foggy,frog_weather_raining,frog_weather_snowing,frog_locations_indoors,frog_locations_street,frog_locations_snow
100.00%,100.00%,N/A (total is zero),79.49%,79.31%,57.14%
100.00%,100.00%,,89.74%,86.21%,71.43%
