bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
75.56%,83.72%,94.12%,100.00%,77.50%,91.80%,86.92%,95.45%
88.89%,93.02%,100.00%,100.00%,87.50%,98.91%,94.62%,98.86%
