car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
53.53%,34.95%,40.22%,17.95%,52.90%,49.57%,32.55%,39.34%
87.14%,75.73%,78.26%,82.05%,86.87%,82.61%,79.22%,77.73%
