horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
21.67%,32.38%,21.43%,50.00%,50.54%,30.43%,19.18%,38.35%,26.01%
30.00%,48.57%,28.57%,69.44%,74.19%,53.26%,42.69%,54.85%,46.96%
