ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
62.89%,55.96%,57.14%,33.33%,46.84%,27.62%,40.00%,40.85%,21.93%,40.78%,50.00%
90.57%,88.07%,85.71%,100.00%,83.54%,79.05%,80.00%,88.73%,80.75%,91.26%,91.43%
